date,category_id,group_id,productId,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
2026-06-29,1,1,15177,0.3,0.64,3.0,0.51,,Foil
2026-06-29,1,1,15178,0.06,0.25,1.24,0.22,0.2,Normal
2026-06-29,1,1,15178,0.25,0.78,1.99,0.78,0.75,Foil
2026-06-29,1,1,15179,0.06,0.47,3.0,0.21,,Normal
2026-06-29,1,1,15179,0.99,4.21,4.98,2.12,,Foil
2026-06-29,1,1,15180,3.46,6.32,20.0,6.17,6.57,Normal
2026-06-29,1,1,15180,37.73,38.06,71.18,38.05,,Foil
2026-06-29,1,1,15181,0.04,0.29,3.98,0.27,0.06,Normal
2026-06-29,1,1,15181,0.42,0.56,2.0,,0.42,Foil
2026-06-29,1,1,15182,4.5,6.95,169.99,7.53,,Normal
2026-06-29,1,1,15182,38.0,44.7,71.07,37.0,,Foil
2026-06-29,1,1,15183,0.04,0.26,1.79,0.07,0.04,Normal
2026-06-29,1,1,15183,0.37,0.62,6.98,0.39,0.41,Foil
2026-06-29,1,1,15184,0.01,0.25,4.99,0.03,,Normal
2026-06-29,1,1,15184,0.25,0.43,1.56,0.25,,Foil
2026-06-29,1,1,15185,0.1,0.48,1.99,0.19,,Normal
2026-06-29,1,1,15185,0.73,1.21,1.93,0.77,,Foil
2026-06-29,1,1,15186,0.31,0.5,4.48,0.5,,Normal
2026-06-29,1,1,15186,4.5,10.57,69.15,11.5,,Foil
2026-06-29,1,1,15187,0.07,0.25,1.56,0.19,,Normal
2026-06-29,1,1,15187,0.4,0.5,1.99,0.24,,Foil
2026-06-29,1,1,15188,0.01,0.25,3.0,0.2,0.05,Normal
2026-06-29,1,1,15188,0.24,0.58,1.12,0.69,0.3,Foil
2026-06-29,1,1,15189,0.12,0.47,3.0,0.25,,Normal
2026-06-29,1,1,15189,4.99,7.2,7.99,1.44,,Foil
2026-06-29,1,1,15190,0.25,0.75,4.99,0.63,0.81,Normal
2026-06-29,1,1,15190,7.99,11.18,26.99,11.99,,Foil
2026-06-29,1,1,15191,0.01,0.28,2.99,0.09,0.08,Normal
2026-06-29,1,1,15191,0.49,0.53,2.49,,,Foil
2026-06-29,1,1,15192,0.01,0.25,4.19,0.04,0.02,Normal
2026-06-29,1,1,15192,0.18,0.36,2.0,0.25,0.18,Foil
2026-06-29,1,1,15193,0.24,0.36,20.0,0.33,,Normal
2026-06-29,1,1,15193,2.37,4.53,18.7,8.02,,Foil
2026-06-29,1,1,15194,0.01,0.25,5.0,0.15,,Normal
2026-06-29,1,1,15194,0.29,0.51,9.85,0.5,0.4,Foil
2026-06-29,1,1,15195,2.25,3.49,14.8,3.07,,Normal
2026-06-29,1,1,15195,11.79,13.37,14.95,7.06,,Foil
2026-06-29,1,1,15196,0.01,0.25,1.53,0.08,,Normal
2026-06-29,1,1,15196,0.25,0.43,9.98,0.25,0.25,Foil
2026-06-29,1,1,15197,0.28,0.59,5.97,0.42,,Normal
2026-06-29,1,1,15197,2.11,3.8,8.99,4.11,,Foil
2026-06-29,1,1,15198,10.25,12.23,22.66,12.12,,Normal
2026-06-29,1,1,15198,26.0,32.39,50.99,37.33,,Foil
2026-06-29,1,1,15199,0.01,0.25,3.0,0.12,0.06,Normal
2026-06-29,1,1,15199,0.39,0.52,1.88,0.55,0.48,Foil
2026-06-29,1,1,15200,1.19,1.91,3.29,2.29,,Normal
2026-06-29,1,1,15200,8.25,9.54,16.99,10.46,,Foil
2026-06-29,1,1,15201,0.17,0.49,1.99,0.3,,Normal
2026-06-29,1,1,15201,1.0,2.04,5.0,1.53,2.04,Foil
2026-06-29,1,1,15202,0.01,0.25,2.99,0.05,,Normal
2026-06-29,1,1,15202,0.2,0.47,9.98,0.3,0.3,Foil
2026-06-29,1,1,15203,0.03,0.28,2.99,0.2,0.1,Normal
2026-06-29,1,1,15203,0.3,0.52,1.79,0.32,0.5,Foil
2026-06-29,1,1,15204,0.14,0.29,1.67,0.19,,Normal
2026-06-29,1,1,15204,0.47,0.72,1.05,,,Foil
2026-06-29,1,1,15205,0.1,0.49,3.99,0.4,0.24,Normal
2026-06-29,1,1,15205,0.67,1.35,1.78,1.43,1.39,Foil
2026-06-29,1,1,15206,3.0,4.75,13.99,4.89,,Normal
2026-06-29,1,1,15206,18.91,25.49,32.0,24.31,,Foil
2026-06-29,1,1,15207,0.02,0.3,3.0,0.3,,Normal
2026-06-29,1,1,15207,0.41,0.52,1.19,,,Foil
2026-06-29,1,1,15208,0.46,1.75,19.71,3.16,,Normal
2026-06-29,1,1,15208,10.67,22.95,89.87,22.75,16.8,Foil
2026-06-29,1,1,15209,0.02,0.25,4.31,0.08,,Normal
2026-06-29,1,1,15209,0.25,0.49,1.05,0.25,0.28,Foil
2026-06-29,1,1,15210,0.57,1.04,4.93,1.12,2.99,Normal
2026-06-29,1,1,15210,8.53,16.99,20.02,10.0,,Foil
2026-06-29,1,1,15211,0.1,0.27,1.59,0.14,,Normal
2026-06-29,1,1,15211,0.96,1.03,6.46,1.1,,Foil
2026-06-29,1,1,15212,0.12,0.47,3.0,0.25,,Normal
2026-06-29,1,1,15212,0.66,0.99,2.06,0.67,,Foil
2026-06-29,1,1,15213,0.24,0.53,4.99,0.45,,Normal
2026-06-29,1,1,15213,0.83,1.52,3.0,0.99,,Foil
2026-06-29,1,1,15214,0.01,0.28,1.79,0.04,,Normal
